order_num,orderentry_num,productgroup,created_date,orderentry_revenue,user_id,customer_type,order_status,nettotalprice
180513-31289577,0,IM,5/13/2018,89,4774,REGISTERED,COMPLETED,80.91000366
180513-31289577,2,IM,5/13/2018,598.9899902,4774,REGISTERED,COMPLETED,544.539978
180314-31178008,1,IM,3/14/2018,1090.73999,4.80E+04,REGISTERED,COMPLETED,991.5800171
180314-31178008,0,IM,3/14/2018,108.2600021,4.80E+04,REGISTERED,COMPLETED,98.41999817
180227-31096292,1,IM,2/27/2018,218.8999939,4909,REGISTERED,COMPLETED,199
180227-31096292,0,IM,2/27/2018,1090.73999,4909,REGISTERED,COMPLETED,991.5800171
180227-31096292,2,IM,2/27/2018,1388.359985,4909,REGISTERED,COMPLETED,1262.150024
180419-31257024,0,IM,4/19/2018,1199,049a3,REGISTERED,COMPLETED,1090
180419-31257024,1,IM,4/19/2018,79,049a3,REGISTERED,COMPLETED,71.81999969
180302-31119818,0,IM,3/2/2018,109.3499985,04aa6,REGISTERED,COMPLETED,99.41000366
180302-31119818,1,IM,3/2/2018,1239.650024,04aa6,REGISTERED,COMPLETED,1126.949951
180503-31279808,0,IM,5/3/2018,1349,04b50,REGISTERED,COMPLETED,1226.359985
180412-31246864,0,IM,4/12/2018,79,04c26,REGISTERED,COMPLETED,71.81999969
180415-31246317,2,IM,4/15/2018,974.3499756,04c2e,REGISTERED,COMPLETED,885.7700195
180415-31246317,1,IM,4/15/2018,1948.699951,04c2e,REGISTERED,COMPLETED,1771.550049
180415-31246317,0,IM,4/15/2018,974.3499756,04c2e,REGISTERED,COMPLETED,885.7700195
180507-31281622,0,CE,5/7/2018,89,04d29,REGISTERED,COMPLETED,80.91000366
180625-31411800,0,IM,6/25/2018,1074,4.00E+13,REGISTERED,COMPLETED,976.3599854
180313-31167637,0,IM,3/13/2018,107.1299973,4.00E+92,REGISTERED,COMPLETED,97.38999939
180313-31167637,1,IM,3/13/2018,966.8699951,4.00E+92,REGISTERED,COMPLETED,878.9699707
180411-31236725,0,IM,4/11/2018,299,04ed1,REGISTERED,COMPLETED,271.8200073
180305-31141549,2,IM,3/5/2018,1239.650024,04ed5,REGISTERED,COMPLETED,1126.949951
180305-31141549,0,IM,3/5/2018,65,04ed5,REGISTERED,COMPLETED,59.09000015
180305-31141549,1,IM,3/5/2018,109.3499985,04ed5,REGISTERED,COMPLETED,99.41000366
180302-31116617,0,IM,3/2/2018,218.7100067,04f10,REGISTERED,COMPLETED,198.8300018
180302-31116617,2,IM,3/2/2018,1239.640015,04f10,REGISTERED,COMPLETED,1126.949951
180302-31116617,1,IM,3/2/2018,1239.650024,04f10,REGISTERED,COMPLETED,1126.949951
180213-31037010,0,IM,4/16/2018,1349,5084,REGISTERED,COMPLETED,1226.359985
180416-31244545,0,IM,4/16/2018,876.8499756,0514e,REGISTERED,COMPLETED,797.1400146
180429-31275167,0,DA,4/29/2018,839.2999878,5274,REGISTERED,COMPLETED,763
180211-31032512,0,IM,3/2/2018,343.2999878,5.30E+07,REGISTERED,COMPLETED,312.0899963
180211-31032512,1,IM,3/2/2018,205.6999969,5.30E+07,REGISTERED,COMPLETED,187
180301-31119219,0,IM,3/1/2018,108.2600021,5444,REGISTERED,COMPLETED,98.41999817
180301-31119219,1,IM,3/1/2018,1090.73999,5444,REGISTERED,COMPLETED,991.5800171
180308-31158147,0,IM,3/8/2018,1499,0553a,REGISTERED,COMPLETED,1362.72998
180517-31298167,0,IM,5/17/2018,1374,5560,REGISTERED,COMPLETED,1249.089966
180206-31011846,1,IM,2/6/2018,343.2999878,055b6,REGISTERED,COMPLETED,312.0899963
180206-31011846,0,IM,2/6/2018,205.6999969,055b6,REGISTERED,COMPLETED,187
180128-30999644,0,IM,1/28/2018,949,055d6,REGISTERED,COMPLETED,862.7299805
