,user_id,Recency_x,Frequency_x,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMClass,max_created_date,min_created_date,new_max_date,new_min_date
8476,f.los,2408,2,2302.1800383,1,1,1,111,6/6/2018,4/10/2018,2018-06-06,2018-04-10
8477,f.pan,2491,1,1090.0,2,4,3,243,3/15/2018,3/15/2018,2018-03-15,2018-03-15
8478,f.raf,2458,1,408.1799927,2,4,3,243,4/17/2018,4/17/2018,2018-04-17,2018-04-17
8479,f.soh,2492,1,1103.72000122,3,4,2,342,3/14/2018,3/14/2018,2018-03-14,2018-03-14
8480,f.yua,2395,5,4948.00003052,1,1,1,111,6/19/2018,2/5/2018,2018-06-19,2018-02-05
8481,f0063,2395,1,1226.359985,1,4,2,142,6/19/2018,6/19/2018,2018-06-19,2018-06-19
8482,f00b4,2500,1,453.6400146,3,4,3,343,3/6/2018,3/6/2018,2018-03-06,2018-03-06
8483,f00f4,2496,1,1090.00001527,3,4,2,342,3/10/2018,3/10/2018,2018-03-10,2018-03-10
8484,f012d,2493,1,1307.26998866,3,4,1,341,3/13/2018,3/13/2018,2018-03-13,2018-03-13
8485,f012f,2396,1,53.63999939,1,4,4,144,6/18/2018,6/18/2018,2018-06-18,2018-06-18
8486,f0347,2402,1,362.730011,1,4,3,143,6/12/2018,6/12/2018,2018-06-12,2018-06-12
8487,f0360,2384,1,1634.72998,1,4,1,141,6/30/2018,6/30/2018,2018-06-30,2018-06-30
8488,f03ac,2452,1,180.9100037,2,4,4,244,4/23/2018,4/23/2018,2018-04-23,2018-04-23
8489,f03b7,2455,1,797.1400146,2,4,3,243,4/20/2018,4/20/2018,2018-04-20,2018-04-20
8490,f0435,2507,1,1112.73000347,4,4,2,442,2/27/2018,2/27/2018,2018-02-27,2018-02-27
8491,f073e,2483,1,62.72999954,2,4,4,244,3/23/2018,3/23/2018,2018-03-23,2018-03-23
8492,f0941,2493,1,1226.35995466,3,4,2,342,3/13/2018,3/13/2018,2018-03-13,2018-03-13
8493,f0997,2395,1,53.63999939,1,4,4,144,6/19/2018,6/19/2018,2018-06-19,2018-06-19
8494,f0a87,2506,1,1226.35995466,4,4,2,442,2/28/2018,2/28/2018,2018-02-28,2018-02-28
8495,f0aa1,2425,1,22.68000031,1,4,4,144,5/20/2018,5/20/2018,2018-05-20,2018-05-20
8496,f0ad3,2493,1,1230.99003576,3,4,2,342,3/13/2018,3/13/2018,2018-03-13,2018-03-13
8497,f0c78,2492,1,1226.35995466,3,4,2,342,3/14/2018,3/14/2018,2018-03-14,2018-03-14
8498,f0cea,2452,1,317.269989,2,4,3,243,4/23/2018,4/23/2018,2018-04-23,2018-04-23
8499,f0d87,2431,1,135.4499969,1,4,4,144,5/14/2018,5/14/2018,2018-05-14,2018-05-14
8500,f1078,2467,1,99.08999634,2,4,4,244,4/8/2018,4/8/2018,2018-04-08,2018-04-08
8501,f119b,2444,2,1494.6400486040002,2,1,1,211,5/1/2018,4/9/2018,2018-05-01,2018-04-09
8502,f11f0,2464,1,0.090000004,2,4,4,244,4/11/2018,4/11/2018,2018-04-11,2018-04-11
8503,f1367,2482,1,453.6400146,2,4,3,243,3/24/2018,3/24/2018,2018-03-24,2018-03-24
8504,f1452,2502,1,1226.35995466,3,4,2,342,3/4/2018,3/4/2018,2018-03-04,2018-03-04
8505,f14ea,2397,1,908.1799927,1,4,3,143,6/17/2018,6/17/2018,2018-06-17,2018-06-17
8506,f1584,2429,1,1180.910034,1,4,2,142,5/16/2018,5/16/2018,2018-05-16,2018-05-16
8507,f1618,2507,1,1090.00001527,4,4,2,442,2/27/2018,2/27/2018,2018-02-27,2018-02-27
8508,f16b1,2507,1,1805.46000673,4,4,1,441,2/27/2018,2/27/2018,2018-02-27,2018-02-27
8509,f1700,2507,1,1226.35995466,4,4,2,442,2/27/2018,2/27/2018,2018-02-27,2018-02-27
8510,f1744,2425,1,1307.26998866,1,4,1,141,5/20/2018,5/20/2018,2018-05-20,2018-05-20
8511,f1773,2492,1,1090.00001527,3,4,2,342,3/14/2018,3/14/2018,2018-03-14,2018-03-14
8512,f1825,2458,1,0.090000004,2,4,4,244,4/17/2018,4/17/2018,2018-04-17,2018-04-17
8513,f188b,2497,1,1226.35995466,3,4,2,342,3/9/2018,3/9/2018,2018-03-09,2018-03-09
8514,f18c8,2501,1,1362.7300034,3,4,1,341,3/5/2018,3/5/2018,2018-03-05,2018-03-05
8515,f1c18,2497,1,59.09000015,3,4,4,344,3/9/2018,3/9/2018,2018-03-09,2018-03-09
8516,f1dc0,2500,1,1226.35995466,3,4,2,342,3/6/2018,3/6/2018,2018-03-06,2018-03-06
8517,f1dee,2564,1,317.269989,4,4,3,443,1/1/2018,1/1/2018,2018-01-01,2018-01-01
8518,f1e9f,2503,1,976.3599700899999,3,4,3,343,3/3/2018,3/3/2018,2018-03-03,2018-03-03
8519,f1efa,2487,1,53.63999939,2,4,4,244,3/19/2018,3/19/2018,2018-03-19,2018-03-19
8520,f1f17,2465,1,62.72999954,2,4,4,244,4/10/2018,4/10/2018,2018-04-10,2018-04-10
8521,f1f3d,2411,1,80.91000366,1,4,4,144,6/3/2018,6/3/2018,2018-06-03,2018-06-03
8522,f2021,2491,1,976.3599700899999,2,4,3,243,3/15/2018,3/15/2018,2018-03-15,2018-03-15
8523,f2071,2492,1,1190.5599819400002,3,4,2,342,3/14/2018,3/14/2018,2018-03-14,2018-03-14
8524,f2172,2473,1,180.0,2,4,4,244,4/2/2018,4/2/2018,2018-04-02,2018-04-02
8525,f22a4,2504,1,1362.7300034,4,4,1,441,3/2/2018,3/2/2018,2018-03-02,2018-03-02
8526,f22cc,2461,1,108.1800003,2,4,4,244,4/14/2018,4/14/2018,2018-04-14,2018-04-14
8527,f231f,2499,1,1090.00001527,3,4,2,342,3/7/2018,3/7/2018,2018-03-07,2018-03-07
8528,f2338,2534,1,15.44999981,4,4,4,444,1/31/2018,1/31/2018,2018-01-31,2018-01-31
8529,f23b3,2559,1,53.63999939,4,4,4,444,1/6/2018,1/6/2018,2018-01-06,2018-01-06
8530,f23ba,2528,1,499.0899963,4,4,3,443,2/6/2018,2/6/2018,2018-02-06,2018-02-06
8531,f23cf,2443,1,71.81999969,2,4,4,244,5/2/2018,5/2/2018,2018-05-02,2018-05-02
8532,f2410,2409,1,1274.71995146,1,4,2,142,6/5/2018,6/5/2018,2018-06-05,2018-06-05
8533,f24ca,2506,1,1170.91001893,4,4,2,442,2/28/2018,2/28/2018,2018-02-28,2018-02-28
8534,f2573,2496,1,1112.73000347,3,4,2,342,3/10/2018,3/10/2018,2018-03-10,2018-03-10
8535,f25df,2545,1,908.1799927,4,4,3,443,1/20/2018,1/20/2018,2018-01-20,2018-01-20
8536,f2615,2521,1,908.1799927,4,4,3,443,2/13/2018,2/13/2018,2018-02-13,2018-02-13
8537,f2655,2467,1,613.1799927,2,4,3,243,4/8/2018,4/8/2018,2018-04-08,2018-04-08
8538,f2663,2498,1,1226.35995466,3,4,2,342,3/8/2018,3/8/2018,2018-03-08,2018-03-08
8539,f267f,2490,1,1226.35995466,2,4,2,242,3/16/2018,3/16/2018,2018-03-16,2018-03-16
8540,f26c1,2498,1,1226.35995466,3,4,2,342,3/8/2018,3/8/2018,2018-03-08,2018-03-08
8541,f26cb,2559,1,44.48999977,4,4,4,444,1/6/2018,1/6/2018,2018-01-06,2018-01-06
8542,f2795,2499,1,1090.00001527,3,4,2,342,3/7/2018,3/7/2018,2018-03-07,2018-03-07
8543,f27b6,2501,1,1226.35995466,3,4,2,342,3/5/2018,3/5/2018,2018-03-05,2018-03-05
8544,f27f8,2507,1,1362.7300034,4,4,1,441,2/27/2018,2/27/2018,2018-02-27,2018-02-27
8545,f294d,2494,1,1362.7300034,3,4,1,341,3/12/2018,3/12/2018,2018-03-12,2018-03-12
8546,f29e1,2501,1,44.54999924,3,4,4,344,3/5/2018,3/5/2018,2018-03-05,2018-03-05
8547,f2c88,2445,1,885.7700195,2,4,3,243,4/30/2018,4/30/2018,2018-04-30,2018-04-30
8548,f2d33,2456,2,1249.089966,2,1,2,212,4/19/2018,4/19/2018,2018-04-19,2018-04-19
8549,f2d83,2506,1,2180.0,4,4,1,441,2/28/2018,2/28/2018,2018-02-28,2018-02-28
8550,f2e6d,2431,1,317.269989,1,4,3,143,5/14/2018,5/14/2018,2018-05-14,2018-05-14
8551,f2f2e,2556,1,984.4999924,4,4,3,443,1/9/2018,1/9/2018,2018-01-09,2018-01-09
8552,f2fcc,2532,1,908.1799927,4,4,3,443,2/2/2018,2/2/2018,2018-02-02,2018-02-02
8553,f3161,2397,1,53.63999939,1,4,4,144,6/17/2018,6/17/2018,2018-06-17,2018-06-17
8554,f317e,2507,1,1362.7300034,4,4,1,441,2/27/2018,2/27/2018,2018-02-27,2018-02-27
8555,f3315,2492,1,1226.35995466,3,4,2,342,3/14/2018,3/14/2018,2018-03-14,2018-03-14
8556,f3373,2421,1,1090.0,1,4,3,143,5/24/2018,5/24/2018,2018-05-24,2018-05-24
8557,f3451,2459,1,797.1400146,2,4,3,243,4/16/2018,4/16/2018,2018-04-16,2018-04-16
8558,f3470,2434,1,26.36000061,1,4,4,144,5/11/2018,5/11/2018,2018-05-11,2018-05-11
8559,f3528,2533,1,908.1799927,4,4,3,443,2/1/2018,2/1/2018,2018-02-01,2018-02-01
